Fiscal Year,Service,Department Name,Division Name,Category,Description,Amount,Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Medicare,10980.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Medicare,6775.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Misc. Additional Comp,19975.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Misc. Additional Comp,10925.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Misc. Additional Comp,8500.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Overtime Salaries/Wages,35000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Overtime Salaries/Wages,35000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Pensions,291985.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Pensions,165035.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Pensions,76170.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Permanent Salaries/Wages,1223670.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Permanent Salaries/Wages,773825.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Salaries & Wages,Permanent Salaries/Wages,458470.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Administration & Gen Supplies,1000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Communication,2000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Other Property Related Services,305200.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Other Supplies,12100.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Other Supplies,40000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Other Supplies,5000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Professional and Technical Services,45000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Rentals and Leases,10000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Repairs and Maint (Services),927425.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Repairs and Maint (Supplies),103000.00,General Fund
2018,Community Maintenance and Development,Public Works,Public Buildings,Other Ordinary Maintenance,Repairs and Maint (Supplies),120000.00,General Fund
2018,Community Maintenance and Development,Public Works,Snow & Ice,Salaries & Wages,Medicare,2755.00,General Fund
2018,Community Maintenance and Development,Public Works,Snow & Ice,Salaries & Wages,Overtime Salaries/Wages,190000.00,General Fund
2018,Community Maintenance and Development,Public Works,Snow & Ice,Other Ordinary Maintenance,Other Property Related Services,90000.00,General Fund
2018,Community Maintenance and Development,Public Works,Snow & Ice,Other Ordinary Maintenance,Professional and Technical Services,47000.00,General Fund
2018,Community Maintenance and Development,Public Works,Snow & Ice,Other Ordinary Maintenance,Repairs and Maint (Supplies),42000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Dental Insurance,52910.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Dental Insurance,50100.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Dental Insurance,5850.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Health Insurance,525655.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Health Insurance,655300.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Health Insurance,107490.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Longevity/Salaries & Wages,6000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Longevity/Salaries & Wages,2000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Medicare,18990.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Medicare,26595.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Medicare,5705.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Misc. Additional Comp,22500.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Misc. Additional Comp,22350.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Misc. Additional Comp,8700.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Overtime Salaries/Wages,43000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Overtime Salaries/Wages,88365.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Pensions,342765.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Pensions,330070.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Pensions,63475.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Permanent Salaries/Wages,1375570.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Permanent Salaries/Wages,1459810.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Permanent Salaries/Wages,384745.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Temporary Salaries/Wages,5000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Salaries & Wages,Temporary Salaries/Wages,435300.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Administration & Gen Supplies,360.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Communication,8125.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Other Property Related Services,80000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Other Property Related Services,1905480.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Other Property Related Services,2178000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Other Purchased Services,25000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Professional and Technical Services,487080.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Repairs and Maint (Services),425660.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Repairs and Maint (Supplies),56000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Repairs and Maint (Supplies),7000.00,General Fund
2018,Community Maintenance and Development,Public Works,Solid Waste,Other Ordinary Maintenance,Repairs and Maint (Supplies),66575.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Dental Insurance,30080.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Dental Insurance,12290.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Health Insurance,516665.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Health Insurance,138965.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Longevity/Salaries & Wages,8000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Medicare,15795.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Medicare,8165.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Misc. Additional Comp,18725.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Misc. Additional Comp,7325.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Overtime Salaries/Wages,48175.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Overtime Salaries/Wages,29730.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Pensions,228510.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Pensions,88865.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Permanent Salaries/Wages,1203285.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Salaries & Wages,Permanent Salaries/Wages,525965.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Administration & Gen Supplies,2460.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Other Property Related Services,35000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Other Property Related Services,108000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Other Purchased Services,24500.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Other Purchased Services,9000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Other Supplies,10000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Repairs and Maint (Services),546305.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Repairs and Maint (Services),255000.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Repairs and Maint (Supplies),193110.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Other Ordinary Maintenance,Repairs and Maint (Supplies),76500.00,General Fund
2018,Community Maintenance and Development,Public Works,Street & Sewer Maintenance,Travel & Training,Travel/Training (in State) Sum.,500.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Dental Insurance,15100.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Dental Insurance,17090.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Health Insurance,221925.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Health Insurance,242595.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Longevity/Salaries & Wages,2000.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Longevity/Salaries & Wages,4000.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Medicare,5980.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Medicare,6735.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Misc. Additional Comp,7050.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Misc. Additional Comp,8350.00,General Fund
2018,Human Resources and Development,Human Services,Recreation,Salaries & Wages,Medicare,3315.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Overtime Salaries/Wages,8620.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Overtime Salaries/Wages,71000.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Pensions,101560.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Pensions,114255.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Permanent Salaries/Wages,498975.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Salaries & Wages,Permanent Salaries/Wages,539110.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Other Ordinary Maintenance,Other Property Related Services,270000.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Other Ordinary Maintenance,Vehicle Supplies,248585.00,General Fund
2018,Community Maintenance and Development,Public Works,Vehicle Maintenance & Off-Hours,Extraordinary Expenditures,Additional Equipment,600000.00,General Fund
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Dental Insurance,9360.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Dental Insurance,3510.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Health Insurance,190780.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Health Insurance,53745.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Medicare,10045.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Medicare,4965.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Misc. Additional Comp,10275.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Misc. Additional Comp,4500.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Overtime Salaries/Wages,16000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Pensions,163605.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Pensions,38085.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Permanent Salaries/Wages,636240.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Permanent Salaries/Wages,267515.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Temporary Salaries/Wages,30000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Salaries & Wages,Temporary Salaries/Wages,70290.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,25305.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Communication,44000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,1800.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Other Purchased Services,30000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Other Supplies,7000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Other Supplies,10250.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Professional and Technical Services,288000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Other Ordinary Maintenance,Rentals and Leases,7000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Travel & Training,Dues & Subscriptions,6375.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Travel & Training,Judgments,60000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Travel & Training,Travel/Train. (out of State) Sum,6000.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Travel & Training,Travel/Training (in State) Sum.,14205.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Extraordinary Expenditures,Debt Service Interest,204505.00,Water Funds
2018,Community Maintenance and Development,Water,Administration,Extraordinary Expenditures,Debt Service Principal Payments,2420000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Dental Insurance,8190.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Dental Insurance,22940.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Health Insurance,179645.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Health Insurance,338950.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Medicare,9100.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Medicare,18015.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Misc. Additional Comp,8775.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Misc. Additional Comp,16000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Overtime Salaries/Wages,21650.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Overtime Salaries/Wages,38500.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Pensions,88865.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Pensions,177730.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Permanent Salaries/Wages,516525.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Permanent Salaries/Wages,1187715.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Temporary Salaries/Wages,80365.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Salaries & Wages,Temporary Salaries/Wages,70290.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Administration & Gen Supplies,500.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Communication,16000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Energy,15855.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Energy,975440.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Non Energy Chemical Supplies,741460.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Other Property Related Services,188160.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Other Purchased Services,3000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Other Purchased Services,75000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Other Supplies,31000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Other Supplies,2500.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Professional and Technical Services,20000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Professional and Technical Services,63620.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Professional and Technical Services,46100.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Rentals and Leases,2000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Repairs and Maint (Services),245000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Repairs and Maint (Services),545900.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Repairs and Maint (Supplies),57000.00,Water Funds
2018,Community Maintenance and Development,Water,Source of Supply,Other Ordinary Maintenance,Repairs and Maint (Supplies),108395.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Dental Insurance,26910.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Health Insurance,553140.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Longevity/Salaries & Wages,7550.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Medicare,22160.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Misc. Additional Comp,21600.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Overtime Salaries/Wages,198985.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Pensions,291985.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Permanent Salaries/Wages,1670465.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Salaries & Wages,Temporary Salaries/Wages,20000.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Energy,39500.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Other Purchased Services,17000.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Professional and Technical Services,6000.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Repairs and Maint (Services),95000.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Repairs and Maint (Supplies),210015.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Other Ordinary Maintenance,Vehicle Supplies,65000.00,Water Funds
2018,Community Maintenance and Development,Water,Transmission & Distribution,Extraordinary Expenditures,Additional Equipment,175000.00,Water Funds
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Health Insurance,62950.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Medicare,2290.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Misc. Additional Comp,3000.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Pensions,25390.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Permanent Salaries/Wages,152880.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Salaries & Wages,Temporary Salaries/Wages,2030.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,4435.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Other Ordinary Maintenance,Communication,200.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,1400.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Other Ordinary Maintenance,Professional and Technical Services,4000.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Travel & Training,Dues & Subscriptions,180.00,General Fund
2018,Human Resources and Development,Commission on the Status of Women,Administration,Travel & Training,Travel/Train. (out of State) Sum,345.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Dental Insurance,4680.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Health Insurance,85220.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Medicare,3995.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Misc. Additional Comp,5200.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Pensions,25390.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Permanent Salaries/Wages,220135.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Salaries & Wages,Temporary Salaries/Wages,49900.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Other Ordinary Maintenance,Administration & Gen Supplies,1200.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Other Ordinary Maintenance,Communication,700.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Other Ordinary Maintenance,Educational Supplies,200.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Other Ordinary Maintenance,Food and Food Service Supplies,5500.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Other Ordinary Maintenance,Professional and Technical Services,46900.00,General Fund
2018,Human Resources and Development,Human Rights Commission,Administration,Travel & Training,Dues & Subscriptions,1200.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Dental Insurance,3510.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Health Insurance,64750.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Medicare,4350.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Misc. Additional Comp,4500.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Pensions,38085.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Permanent Salaries/Wages,274190.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Salaries & Wages,Temporary Salaries/Wages,21295.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Other Ordinary Maintenance,Food and Food Service Supplies,5000.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Other Ordinary Maintenance,Professional and Technical Services,67700.00,General Fund
2018,Human Resources and Development,Human Services,Agenda for Children Literacy and OST,Travel & Training,Travel/Training (in State) Sum.,1500.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Dental Insurance,1170.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Dental Insurance,2340.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Health Insurance,31475.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Health Insurance,22270.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Medicare,1270.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Medicare,2835.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Misc. Additional Comp,1500.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Misc. Additional Comp,2790.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Permanent Salaries/Wages,70305.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Permanent Salaries/Wages,153480.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Temporary Salaries/Wages,15630.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Salaries & Wages,Temporary Salaries/Wages,39105.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Administration & Gen Supplies,530.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Communication,100.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Food and Food Service Supplies,6000.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Food and Food Service Supplies,5000.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Other Supplies,4600.00,General Fund
2018,Human Resources and Development,Human Services,Baby U and Center for Families,Other Ordinary Maintenance,Other Supplies,20000.00,General Fund
